"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2189","test_checkout_information_validation[webkit]","tests","2026-07-03","passed","2026-07-03","","test_checkout_information","",""
"","3201","test_order_overview_displays_totals[firefox]","tests","2026-07-03","passed","2026-07-03","","test_checkout_overview","",""
"","2011","test_cart_review[webkit]","tests","2026-07-03","passed","2026-07-03","","test_cart","",""
"","915","test_login_success[webkit]","tests","2026-07-03","passed","2026-07-03","","test_login","",""
"","1624","test_checkout_information_validation[chromium1]","tests","2026-07-03","passed","2026-07-03","","test_checkout_information","",""
"","1325","test_finish_order_clears_cart[chromium1]","tests","2026-07-03","passed","2026-07-03","","test_order_completion","",""
"","1708","test_invalid_input_shows_error[firefox]","tests","2026-07-03","passed","2026-07-03","","test_validation","",""
"","1497","test_cart_review[chromium1]","tests","2026-07-03","passed","2026-07-03","","test_cart","",""
"","1947","test_checkout_information_validation[firefox]","tests","2026-07-03","passed","2026-07-03","","test_checkout_information","",""
"","2326","test_finish_order_clears_cart[webkit]","tests","2026-07-03","passed","2026-07-03","","test_order_completion","",""
"","2044","test_order_overview_displays_totals[webkit]","tests","2026-07-03","passed","2026-07-03","","test_checkout_overview","",""
"","1538","test_login_success[firefox]","tests","2026-07-03","passed","2026-07-03","","test_login","",""
"","842","test_login_success[chromium1]","tests","2026-07-03","passed","2026-07-03","","test_login","",""
"","1705","test_order_overview_displays_totals[chromium1]","tests","2026-07-03","passed","2026-07-03","","test_checkout_overview","",""
"","2107","test_invalid_input_shows_error[webkit]","tests","2026-07-03","passed","2026-07-03","","test_validation","",""
"","1042","test_invalid_input_shows_error[chromium1]","tests","2026-07-03","passed","2026-07-03","","test_validation","",""
"","3624","test_cart_review[firefox]","tests","2026-07-03","passed","2026-07-03","","test_cart","",""
"","2796","test_finish_order_clears_cart[firefox]","tests","2026-07-03","passed","2026-07-03","","test_order_completion","",""
